item_id	marker_id	item_name	gene	rs_id	normal_allele	risk_allele
I-CNV0147	MARKER-0173	14q12 duplication	14q12 duplication	rsCNV0147	N	O
I-CNV0148	MARKER-0174	14q22 deletion	14q22 deletion	rsCNV0148	N	O
I-CNV0149	MARKER-0175	14q22-q23 deletion	14q22-q23 deletion	rsCNV0149	N	O
I-CNV0150	MARKER-0176	14q24.1-q24.3 deletion	14q24.1-q24.3 deletion	rsCNV0150	N	O
I-CNV0151	MARKER-0177	14q31-q32 deletion	14q31-q32 deletion	rsCNV0151	N	O
I-CNV0152	MARKER-0178	14q32 deletion	14q32 deletion	rsCNV0152	N	O
I-CNV0153	MARKER-0179	14q32 duplication	14q32 duplication	rsCNV0153	N	O
I-CNV0154	MARKER-0180	14q deletion	14q deletion	rsCNV0154	N	O
I-CNV0155	MARKER-0181	14q duplication	14q duplication	rsCNV0155	N	O
I-CNV0156	MARKER-0182	15p13.3 deletion	15p13.3 deletion	rsCNV0156	N	O
I-CNV0157	MARKER-0183	15q11.2 deletion	15q11.2 deletion	rsCNV0157	N	O
I-CNV0158	MARKER-0184	15q11.2-13.1 duplication	15q11.2-13.1 duplication	rsCNV0158	N	O
I-CNV0159	MARKER-0185	15q13.3 deletion	15q13.3 deletion	rsCNV0159	N	O
I-CNV0160	MARKER-0186	15q14 deletion	15q14 deletion	rsCNV0160	N	O
I-CNV0161	MARKER-0187	15q24 deletion	15q24 deletion	rsCNV0161	N	O
I-CNV0162	MARKER-0188	15q duplication	15q duplication	rsCNV0162	N	O
I-CNV0163	MARKER-0189	15q deletion	15q deletion	rsCNV0163	N	O
I-CNV0164	MARKER-0190	16p duplication	16p duplication	rsCNV0164	N	O
I-CNV0165	MARKER-0191	16p deletion	16p deletion	rsCNV0165	N	O
I-CNV0166	MARKER-0192	16p13.11 duplication	16p13.11 duplication	rsCNV0166	N	O
I-CNV0167	MARKER-0193	16p13.11 deletion	16p13.11 deletion	rsCNV0167	N	O
I-CNV0168	MARKER-0194	16p13.3 deletion	16p13.3 deletion	rsCNV0168	N	O
I-CNV0169	MARKER-0195	16p13.3 duplication	16p13.3 duplication	rsCNV0169	N	O
I-CNV0170	MARKER-0196	16p13.2 deletion	16p13.2 deletion	rsCNV0170	N	O
I-CNV0171	MARKER-0197	16p11.2 deletion	16p11.2 deletion	rsCNV0171	N	O
I-CNV0172	MARKER-0198	16p11.2-p12.2 duplication	16p11.2-p12.2 duplication	rsCNV0172	N	O
I-CNV0173	MARKER-0199	16q24.1 deletion	16q24.1 deletion	rsCNV0173	N	O
I-CNV0174	MARKER-0200	16q24.3 deletion	16q24.3 deletion	rsCNV0174	N	O
I-CNV0175	MARKER-0201	16q22 deletion	16q22 deletion	rsCNV0175	N	O
I-CNV0176	MARKER-0202	16q deletion	16q deletion	rsCNV0176	N	O
I-CNV0177	MARKER-0203	17q duplication	17q duplication	rsCNV0177	N	O
I-CNV0178	MARKER-0204	17q24.2-q24.3 deletion	17q24.2-q24.3 deletion	rsCNV0178	N	O
I-CNV0179	MARKER-0205	17q24.2 deletion	17q24.2 deletion	rsCNV0179	N	O
I-CNV0180	MARKER-0206	17q23.1-q23.2 deletion	17q23.1-q23.2 deletion	rsCNV0180	N	O
I-CNV0181	MARKER-0207	17q21.31 deletion	17q21.31 deletion	rsCNV0181	N	O
I-CNV0182	MARKER-0208	17q21.31 duplication	17q21.31 duplication	rsCNV0182	N	O
I-CNV0183	MARKER-0209	17q12 duplication	17q12 duplication	rsCNV0183	N	O
I-CNV0184	MARKER-0210	17q12 deletion	17q12 deletion	rsCNV0184	N	O
I-CNV0185	MARKER-0211	17q11 deletion	17q11 deletion	rsCNV0185	N	O
I-CNV0186	MARKER-0212	17q11.2 duplication	17q11.2 duplication	rsCNV0186	N	O
I-CNV0187	MARKER-0213	17p11.2 deletion	17p11.2 deletion	rsCNV0187	N	O
I-CNV0188	MARKER-0214	17p11.2 duplication	17p11.2 duplication	rsCNV0188	N	O
I-CNV0189	MARKER-0215	17p12 deletion	17p12 deletion	rsCNV0189	N	O
I-CNV0190	MARKER-0216	17p12 duplication	17p12 duplication	rsCNV0190	N	O
I-CNV0191	MARKER-0217	17p13.3 deletion	17p13.3 deletion	rsCNV0191	N	O
I-CNV0192	MARKER-0218	17p13.3 duplication	17p13.3 duplication	rsCNV0192	N	O
I-CNV0193	MARKER-0219	17p13.1 deletion	17p13.1 deletion	rsCNV0193	N	O
I-CNV0194	MARKER-0220	17p duplication	17p duplication	rsCNV0194	N	O
I-CNV0195	MARKER-0221	18p deletion	18p deletion	rsCNV0195	N	O
I-CNV0196	MARKER-0222	18p duplication	18p duplication	rsCNV0196	N	O
I-CNV0197	MARKER-0223	18q deletion	18q deletion	rsCNV0197	N	O
I-CNV0198	MARKER-0224	19p deletion	19p deletion	rsCNV0198	N	O
I-CNV0199	MARKER-0225	19p duplication	19p duplication	rsCNV0199	N	O
I-CNV0200	MARKER-0226	19p13.2 deletion	19p13.2 deletion	rsCNV0200	N	O
I-CNV0201	MARKER-0227	19p13.13 deletion	19p13.13 deletion	rsCNV0201	N	O
I-CNV0202	MARKER-0228	19p13.12 deletion	19p13.12 deletion	rsCNV0202	N	O
I-CNV0203	MARKER-0229	19p13.3 duplication	19p13.3 duplication	rsCNV0203	N	O
